DATE,TIME,実績(万kW)
2024 1 20,1 00,2748
2024 1 20,2 00,2706
2024 1 20,3 00,2700
2024 1 20,4 00,2702
2024 1 20,5 00,2770
2024 1 20,6 00,2943
2024 1 20,7 00,3200
2024 1 20,8 00,3548
2024 1 20,9 00,3787
2024 1 20,10 00,3796
2024 1 20,11 00,3807
2024 1 20,12 00,3755
2024 1 20,13 00,3731
2024 1 20,14 00,3676
2024 1 20,15 00,3667
2024 1 20,16 00,3741
2024 1 20,17 00,3871
2024 1 20,18 00,3889
2024 1 20,19 00,3829
2024 1 20,20 00,3722
2024 1 20,21 00,3545
2024 1 20,22 00,3330
2024 1 20,23 00,3143
2024 1 21,0 00,2909
2024 1 21,1 00,2778
2024 1 21,2 00,2726
2024 1 21,3 00,2690
2024 1 21,4 00,2678
2024 1 21,5 00,2709
2024 1 21,6 00,2829
2024 1 21,7 00,3098
2024 1 21,8 00,3432
2024 1 21,9 00,3671
2024 1 21,10 00,3718
2024 1 21,11 00,3663
2024 1 21,12 00,3612
2024 1 21,13 00,3481
2024 1 21,14 00,3296
2024 1 21,15 00,3252
2024 1 21,16 00,3314
2024 1 21,17 00,3535
2024 1 21,18 00,3605
2024 1 21,19 00,3568
2024 1 21,20 00,3478
2024 1 21,21 00,3319
2024 1 21,22 00,3097
2024 1 21,23 00,2885
2024 1 22,0 00,2674
2024 1 22,1 00,2581
2024 1 22,2 00,2572
2024 1 22,3 00,2586
2024 1 22,4 00,2662
2024 1 22,5 00,2857
2024 1 22,6 00,3265
2024 1 22,7 00,3604
2024 1 22,8 00,3882
2024 1 22,9 00,3988
2024 1 22,10 00,3917
2024 1 22,11 00,3893
2024 1 22,12 00,3735
2024 1 22,13 00,3780
2024 1 22,14 00,3741
2024 1 22,15 00,3732
2024 1 22,16 00,3849
2024 1 22,17 00,3915
2024 1 22,18 00,3881
2024 1 22,19 00,3776
2024 1 22,20 00,3645
2024 1 22,21 00,3449
2024 1 22,22 00,3229
2024 1 22,23 00,3001
2024 1 23,0 00,2776
2024 1 23,1 00,2672
2024 1 23,2 00,2661
2024 1 23,3 00,2687
2024 1 23,4 00,2750
2024 1 23,5 00,2928
2024 1 23,6 00,3300
2024 1 23,7 00,3614
2024 1 23,8 00,3945
2024 1 23,9 00,4067
2024 1 23,10 00,3939
2024 1 23,11 00,3802
2024 1 23,12 00,3663
2024 1 23,13 00,3692
2024 1 23,14 00,3684
2024 1 23,15 00,3696
2024 1 23,16 00,3825
2024 1 23,17 00,3955
2024 1 23,18 00,3967
2024 1 23,19 00,3884
2024 1 23,20 00,3795
2024 1 23,21 00,3636
2024 1 23,22 00,3436
2024 1 23,23 00,3214
2024 1 24,0 00,2984
2024 1 24,1 00,2883
2024 1 24,2 00,2876
2024 1 24,3 00,2887
2024 1 24,4 00,2944
2024 1 24,5 00,3151
2024 1 24,6 00,3591
2024 1 24,7 00,3940
2024 1 24,8 00,4157
2024 1 24,9 00,4216
2024 1 24,10 00,4129
2024 1 24,11 00,4088
2024 1 24,12 00,3945
2024 1 24,13 00,4008
2024 1 24,14 00,4012
2024 1 24,15 00,4088
2024 1 24,16 00,4289
2024 1 24,17 00,4469
2024 1 24,18 00,4503
2024 1 24,19 00,4436
2024 1 24,20 00,4331
2024 1 24,21 00,4131
2024 1 24,22 00,3873
2024 1 24,23 00,3597
2024 1 25,0 00,3313
2024 1 25,1 00,3170
2024 1 25,2 00,3120
2024 1 25,3 00,3108
2024 1 25,4 00,3144
2024 1 25,5 00,3369
2024 1 25,6 00,3847
2024 1 25,7 00,4234
2024 1 25,8 00,4390
2024 1 25,9 00,4387
2024 1 25,10 00,4258
2024 1 25,11 00,4139
2024 1 25,12 00,3946
2024 1 25,13 00,3972
2024 1 25,14 00,3960
2024 1 25,15 00,4032
2024 1 25,16 00,4241
2024 1 25,17 00,4441
2024 1 25,18 00,4500
2024 1 25,19 00,4429
2024 1 25,20 00,4327
2024 1 25,21 00,4131
2024 1 25,22 00,3867
2024 1 25,23 00,3600
2024 1 26,0 00,3316
2024 1 26,1 00,3163
2024 1 26,2 00,3103
2024 1 26,3 00,3087
2024 1 26,4 00,3129
2024 1 26,5 00,3349
2024 1 26,6 00,3835
2024 1 26,7 00,4190
2024 1 26,8 00,4333
2024 1 26,9 00,4330
2024 1 26,10 00,4178
2024 1 26,11 00,4045
2024 1 26,12 00,3830
2024 1 26,13 00,3844
2024 1 26,14 00,3809
2024 1 26,15 00,3863
2024 1 26,16 00,4049
2024 1 26,17 00,4226
2024 1 26,18 00,4261
2024 1 26,19 00,4186
2024 1 26,20 00,4087
2024 1 26,21 00,3907
2024 1 26,22 00,3707
2024 1 26,23 00,3489
2024 1 27,0 00,3232
2024 1 27,1 00,3080
2024 1 27,2 00,3002
2024 1 27,3 00,2961
2024 1 27,4 00,2953
2024 1 27,5 00,3033
2024 1 27,6 00,3265
2024 1 27,7 00,3498
2024 1 27,8 00,3614
2024 1 27,9 00,3601
2024 1 27,10 00,3492
2024 1 27,11 00,3391
2024 1 27,12 00,3273
2024 1 27,13 00,3191
2024 1 27,14 00,3133
2024 1 27,15 00,3170
2024 1 27,16 00,3351
2024 1 27,17 00,3624
2024 1 27,18 00,3728
2024 1 27,19 00,3733
2024 1 27,20 00,3686
2024 1 27,21 00,3556
2024 1 27,22 00,3381
2024 1 27,23 00,3219
2024 1 28,0 00,3011
2024 1 28,1 00,2900
2024 1 28,2 00,2864
2024 1 28,3 00,2838
2024 1 28,4 00,2826
2024 1 28,5 00,2882
2024 1 28,6 00,3059
2024 1 28,7 00,3299
2024 1 28,8 00,3509
2024 1 28,9 00,3621
2024 1 28,10 00,3530
2024 1 28,11 00,3419
2024 1 28,12 00,3419
2024 1 28,13 00,3263
2024 1 28,14 00,3257
2024 1 28,15 00,3250
2024 1 28,16 00,3385
2024 1 28,17 00,3681
2024 1 28,18 00,3798
2024 1 28,19 00,3791
2024 1 28,20 00,3740
2024 1 28,21 00,3605
2024 1 28,22 00,3368
2024 1 28,23 00,3160
2024 1 29,0 00,2943
2024 1 29,1 00,2844
2024 1 29,2 00,2818
2024 1 29,3 00,2829
2024 1 29,4 00,2889
2024 1 29,5 00,3127
2024 1 29,6 00,3621
2024 1 29,7 00,4011
2024 1 29,8 00,4208
2024 1 29,9 00,4221
2024 1 29,10 00,4077
2024 1 29,11 00,3959
2024 1 29,12 00,3757
2024 1 29,13 00,3789
2024 1 29,14 00,3753
2024 1 29,15 00,3773
2024 1 29,16 00,3932
2024 1 29,17 00,4102
2024 1 29,18 00,4147
2024 1 29,19 00,4084
2024 1 29,20 00,3985
2024 1 29,21 00,3792
2024 1 29,22 00,3565
2024 1 29,23 00,3304
2024 1 30,0 00,3055
2024 1 30,1 00,2935
2024 1 30,2 00,2905
2024 1 30,3 00,2905
2024 1 30,4 00,2960
2024 1 30,5 00,3174
2024 1 30,6 00,3623
2024 1 30,7 00,3962
2024 1 30,8 00,4169
2024 1 30,9 00,4180
2024 1 30,10 00,4016
2024 1 30,11 00,3882
2024 1 30,12 00,3669
2024 1 30,13 00,3709
2024 1 30,14 00,3688
2024 1 30,15 00,3685
2024 1 30,16 00,3818
2024 1 30,17 00,3983
2024 1 30,18 00,4022
2024 1 30,19 00,3968
2024 1 30,20 00,3879
2024 1 30,21 00,3725
2024 1 30,22 00,3516
2024 1 30,23 00,3284
2024 1 31,0 00,3040
2024 1 31,1 00,2936
2024 1 31,2 00,2909
2024 1 31,3 00,2909
2024 1 31,4 00,2953
2024 1 31,5 00,3152
2024 1 31,6 00,3594
2024 1 31,7 00,3932
2024 1 31,8 00,4170
2024 1 31,9 00,4190
2024 1 31,10 00,3984
2024 1 31,11 00,3866
2024 1 31,12 00,3652
2024 1 31,13 00,3679
2024 1 31,14 00,3642
2024 1 31,15 00,3602
2024 1 31,16 00,3674
2024 1 31,17 00,3797
2024 1 31,18 00,3833
2024 1 31,19 00,3758
2024 1 31,20 00,3644
2024 1 31,21 00,3456
2024 1 31,22 00,3257
2024 1 31,23 00,3042
2024 2 1,0 00,2820
2024 2 1,1 00,2707
2024 2 1,2 00,2681
2024 2 1,3 00,2687
2024 2 1,4 00,2728
2024 2 1,5 00,2894
2024 2 1,6 00,3230
2024 2 1,7 00,3487
2024 2 1,8 00,3675
2024 2 1,9 00,3752
2024 2 1,10 00,3657
2024 2 1,11 00,3669
2024 2 1,12 00,3514
2024 2 1,13 00,3542
2024 2 1,14 00,3533
2024 2 1,15 00,3584
2024 2 1,16 00,3742
2024 2 1,17 00,3927
2024 2 1,18 00,3996
2024 2 1,19 00,3958
2024 2 1,20 00,3882
2024 2 1,21 00,3720
2024 2 1,22 00,3512
2024 2 1,23 00,3284
2024 2 2,0 00,3031
2024 2 2,1 00,2912
2024 2 2,2 00,2888
2024 2 2,3 00,2879
2024 2 2,4 00,2926
2024 2 2,5 00,3119
2024 2 2,6 00,3541
2024 2 2,7 00,3945
2024 2 2,8 00,4317
2024 2 2,9 00,4500
2024 2 2,10 00,4401
2024 2 2,11 00,4328
2024 2 2,12 00,4131
2024 2 2,13 00,4177
2024 2 2,14 00,4152
2024 2 2,15 00,4173
2024 2 2,16 00,4272
2024 2 2,17 00,4352
2024 2 2,18 00,4332
2024 2 2,19 00,4228
2024 2 2,20 00,4101
2024 2 2,21 00,3900
2024 2 2,22 00,3674
2024 2 2,23 00,3445
2024 2 3,0 00,3177
2024 2 3,1 00,3034
2024 2 3,2 00,2976
2024 2 3,3 00,2947
2024 2 3,4 00,2942
2024 2 3,5 00,3030
2024 2 3,6 00,3259
2024 2 3,7 00,3468
2024 2 3,8 00,3583
2024 2 3,9 00,3573
2024 2 3,10 00,3459
2024 2 3,11 00,3369
2024 2 3,12 00,3257
2024 2 3,13 00,3175
2024 2 3,14 00,3138
2024 2 3,15 00,3158
2024 2 3,16 00,3317
2024 2 3,17 00,3571
2024 2 3,18 00,3669
2024 2 3,19 00,3653
2024 2 3,20 00,3596
2024 2 3,21 00,3449
2024 2 3,22 00,3264
2024 2 3,23 00,3073
2024 2 4,0 00,2848
2024 2 4,1 00,2728
2024 2 4,2 00,2693
2024 2 4,3 00,2676
2024 2 4,4 00,2680
2024 2 4,5 00,2734
2024 2 4,6 00,2890
2024 2 4,7 00,3141
2024 2 4,8 00,3443
2024 2 4,9 00,3569
2024 2 4,10 00,3610
2024 2 4,11 00,3575
2024 2 4,12 00,3489
2024 2 4,13 00,3415
2024 2 4,14 00,3348
2024 2 4,15 00,3356
2024 2 4,16 00,3494
2024 2 4,17 00,3729
2024 2 4,18 00,3843
2024 2 4,19 00,3832
2024 2 4,20 00,3770
2024 2 4,21 00,3614
2024 2 4,22 00,3366
2024 2 4,23 00,3155
2024 2 5,0 00,2927
2024 2 5,1 00,2818
2024 2 5,2 00,2783
2024 2 5,3 00,2799
2024 2 5,4 00,2858
2024 2 5,5 00,3061
2024 2 5,6 00,3523
2024 2 5,7 00,4006
2024 2 5,8 00,4432
2024 2 5,9 00,4680
2024 2 5,10 00,4688
2024 2 5,11 00,4737
2024 2 5,12 00,4746
2024 2 5,13 00,4963
2024 2 5,14 00,4990
2024 2 5,15 00,4936
2024 2 5,16 00,4977
2024 2 5,17 00,4968
2024 2 5,18 00,4904
2024 2 5,19 00,4798
2024 2 5,20 00,4644
2024 2 5,21 00,4397
2024 2 5,22 00,4082
2024 2 5,23 00,3762
2024 2 6,0 00,3442
2024 2 6,1 00,3264
2024 2 6,2 00,3175
2024 2 6,3 00,3130
2024 2 6,4 00,3156
2024 2 6,5 00,3352
2024 2 6,6 00,3785
2024 2 6,7 00,4232
2024 2 6,8 00,4690
2024 2 6,9 00,4963
2024 2 6,10 00,4929
2024 2 6,11 00,4839
2024 2 6,12 00,4623
2024 2 6,13 00,4636
2024 2 6,14 00,4592
2024 2 6,15 00,4533
2024 2 6,16 00,4604
2024 2 6,17 00,4687
2024 2 6,18 00,4647
2024 2 6,19 00,4511
2024 2 6,20 00,4361
2024 2 6,21 00,4139
2024 2 6,22 00,3872
2024 2 6,23 00,3566
2024 2 7,0 00,3287
2024 2 7,1 00,3152
2024 2 7,2 00,3102
2024 2 7,3 00,3098
2024 2 7,4 00,3159
2024 2 7,5 00,3397
2024 2 7,6 00,3860
2024 2 7,7 00,4249
2024 2 7,8 00,4605
2024 2 7,9 00,4761
2024 2 7,10 00,4663
2024 2 7,11 00,4531
2024 2 7,12 00,4237
2024 2 7,13 00,4163
2024 2 7,14 00,4036
2024 2 7,15 00,3970
2024 2 7,16 00,4068
2024 2 7,17 00,4234
2024 2 7,18 00,4317
2024 2 7,19 00,4270
2024 2 7,20 00,4194
2024 2 7,21 00,4026
2024 2 7,22 00,3796
2024 2 7,23 00,3551
2024 2 8,0 00,3353
2024 2 8,1 00,3220
2024 2 8,2 00,3173
2024 2 8,3 00,3155
2024 2 8,4 00,3203
2024 2 8,5 00,3436
2024 2 8,6 00,3886
2024 2 8,7 00,4256
2024 2 8,8 00,4570
2024 2 8,9 00,4660
2024 2 8,10 00,4524
2024 2 8,11 00,4363
2024 2 8,12 00,4085
2024 2 8,13 00,4063
2024 2 8,14 00,3981
2024 2 8,15 00,3951
2024 2 8,16 00,4066
2024 2 8,17 00,4231
2024 2 8,18 00,4314
2024 2 8,19 00,4257
2024 2 8,20 00,4172
2024 2 8,21 00,4000
2024 2 8,22 00,3762
2024 2 8,23 00,3510
2024 2 9,0 00,3167
2024 2 9,1 00,3026
2024 2 9,2 00,2992
2024 2 9,3 00,2983
2024 2 9,4 00,3027
2024 2 9,5 00,3241
2024 2 9,6 00,3686
2024 2 9,7 00,4021
2024 2 9,8 00,4280
2024 2 9,9 00,4376
2024 2 9,10 00,4232
2024 2 9,11 00,4081
2024 2 9,12 00,3862
2024 2 9,13 00,3848
2024 2 9,14 00,3816
2024 2 9,15 00,3859
2024 2 9,16 00,3936
2024 2 9,17 00,4082
2024 2 9,18 00,4104
2024 2 9,19 00,4020
2024 2 9,20 00,3916
2024 2 9,21 00,3754
2024 2 9,22 00,3570
2024 2 9,23 00,3366
2024 2 10,0 00,3124
2024 2 10,1 00,3001
2024 2 10,2 00,2956
2024 2 10,3 00,2927
2024 2 10,4 00,2944
2024 2 10,5 00,3027
2024 2 10,6 00,3240
2024 2 10,7 00,3438
2024 2 10,8 00,3581
2024 2 10,9 00,3586
2024 2 10,10 00,3472
2024 2 10,11 00,3351
2024 2 10,12 00,3256
2024 2 10,13 00,3155
2024 2 10,14 00,3056
2024 2 10,15 00,3070
2024 2 10,16 00,3191
2024 2 10,17 00,3424
2024 2 10,18 00,3558
2024 2 10,19 00,3542
2024 2 10,20 00,3484
2024 2 10,21 00,3356
2024 2 10,22 00,3191
2024 2 10,23 00,3045
2024 2 11,0 00,2854
2024 2 11,1 00,2760
2024 2 11,2 00,2725
2024 2 11,3 00,2712
2024 2 11,4 00,2720
2024 2 11,5 00,2791
2024 2 11,6 00,2948
2024 2 11,7 00,3098
2024 2 11,8 00,3147
2024 2 11,9 00,3179
2024 2 11,10 00,3144
2024 2 11,11 00,3103
2024 2 11,12 00,3057
