DATE,TIME,実績(万kW)
2024 1 1,0 00,2402
2024 1 1,1 00,2286
2024 1 1,2 00,2243
2024 1 1,3 00,2229
2024 1 1,4 00,2229
2024 1 1,5 00,2251
2024 1 1,6 00,2321
2024 1 1,7 00,2433
2024 1 1,8 00,2515
2024 1 1,9 00,2453
2024 1 1,10 00,2384
2024 1 1,11 00,2334
2024 1 1,12 00,2300
2024 1 1,13 00,2259
2024 1 1,14 00,2272
2024 1 1,15 00,2373
2024 1 1,16 00,2545
2024 1 1,17 00,2815
2024 1 1,18 00,2889
2024 1 1,19 00,2906
2024 1 1,20 00,2907
2024 1 1,21 00,2864
2024 1 1,22 00,2748
2024 1 1,23 00,2644
2024 1 2,0 00,2473
2024 1 2,1 00,2384
2024 1 2,2 00,2363
2024 1 2,3 00,2356
2024 1 2,4 00,2358
2024 1 2,5 00,2402
2024 1 2,6 00,2544
2024 1 2,7 00,2744
2024 1 2,8 00,2910
2024 1 2,9 00,2882
2024 1 2,10 00,2862
2024 1 2,11 00,2868
2024 1 2,12 00,2859
2024 1 2,13 00,2798
2024 1 2,14 00,2736
2024 1 2,15 00,2755
2024 1 2,16 00,2893
2024 1 2,17 00,3091
2024 1 2,18 00,3133
2024 1 2,19 00,3125
2024 1 2,20 00,3097
2024 1 2,21 00,3015
2024 1 2,22 00,2878
2024 1 2,23 00,2744
2024 1 3,0 00,2553
2024 1 3,1 00,2447
2024 1 3,2 00,2417
2024 1 3,3 00,2405
2024 1 3,4 00,2412
2024 1 3,5 00,2468
2024 1 3,6 00,2613
2024 1 3,7 00,2801
2024 1 3,8 00,3008
2024 1 3,9 00,3058
2024 1 3,10 00,2994
2024 1 3,11 00,2921
2024 1 3,12 00,2850
2024 1 3,13 00,2779
2024 1 3,14 00,2742
2024 1 3,15 00,2788
2024 1 3,16 00,2954
2024 1 3,17 00,3177
2024 1 3,18 00,3219
2024 1 3,19 00,3193
2024 1 3,20 00,3135
2024 1 3,21 00,3001
2024 1 3,22 00,2807
2024 1 3,23 00,2623
2024 1 4,0 00,2402
2024 1 4,1 00,2295
2024 1 4,2 00,2274
2024 1 4,3 00,2281
2024 1 4,4 00,2319
2024 1 4,5 00,2427
2024 1 4,6 00,2665
2024 1 4,7 00,2946
2024 1 4,8 00,3223
2024 1 4,9 00,3239
2024 1 4,10 00,3085
2024 1 4,11 00,2978
2024 1 4,12 00,2913
2024 1 4,13 00,2883
2024 1 4,14 00,2872
2024 1 4,15 00,2964
2024 1 4,16 00,3128
2024 1 4,17 00,3358
2024 1 4,18 00,3409
2024 1 4,19 00,3385
2024 1 4,20 00,3320
2024 1 4,21 00,3199
2024 1 4,22 00,3011
2024 1 4,23 00,2826
2024 1 5,0 00,2617
2024 1 5,1 00,2528
2024 1 5,2 00,2514
2024 1 5,3 00,2525
2024 1 5,4 00,2573
2024 1 5,5 00,2742
2024 1 5,6 00,3107
2024 1 5,7 00,3461
2024 1 5,8 00,3743
2024 1 5,9 00,3770
2024 1 5,10 00,3634
2024 1 5,11 00,3511
2024 1 5,12 00,3322
2024 1 5,13 00,3297
2024 1 5,14 00,3268
2024 1 5,15 00,3310
2024 1 5,16 00,3449
2024 1 5,17 00,3595
2024 1 5,18 00,3602
2024 1 5,19 00,3556
2024 1 5,20 00,3467
2024 1 5,21 00,3340
2024 1 5,22 00,3165
2024 1 5,23 00,2987
2024 1 6,0 00,2769
2024 1 6,1 00,2654
2024 1 6,2 00,2623
2024 1 6,3 00,2619
2024 1 6,4 00,2630
2024 1 6,5 00,2721
2024 1 6,6 00,2944
2024 1 6,7 00,3186
2024 1 6,8 00,3369
2024 1 6,9 00,3363
2024 1 6,10 00,3225
2024 1 6,11 00,3101
2024 1 6,12 00,2969
2024 1 6,13 00,2933
2024 1 6,14 00,2908
2024 1 6,15 00,2932
2024 1 6,16 00,3052
2024 1 6,17 00,3256
2024 1 6,18 00,3313
2024 1 6,19 00,3287
2024 1 6,20 00,3221
2024 1 6,21 00,3096
2024 1 6,22 00,2933
2024 1 6,23 00,2789
2024 1 7,0 00,2610
2024 1 7,1 00,2514
2024 1 7,2 00,2492
2024 1 7,3 00,2491
2024 1 7,4 00,2500
2024 1 7,5 00,2548
2024 1 7,6 00,2677
2024 1 7,7 00,2851
2024 1 7,8 00,2991
2024 1 7,9 00,3004
2024 1 7,10 00,2956
2024 1 7,11 00,2911
2024 1 7,12 00,2917
2024 1 7,13 00,2878
2024 1 7,14 00,2919
2024 1 7,15 00,2997
2024 1 7,16 00,3140
2024 1 7,17 00,3369
2024 1 7,18 00,3445
2024 1 7,19 00,3422
2024 1 7,20 00,3365
2024 1 7,21 00,3263
2024 1 7,22 00,3079
2024 1 7,23 00,2917
2024 1 8,0 00,2728
2024 1 8,1 00,2647
2024 1 8,2 00,2632
2024 1 8,3 00,2634
2024 1 8,4 00,2651
2024 1 8,5 00,2759
2024 1 8,6 00,3006
2024 1 8,7 00,3296
2024 1 8,8 00,3521
2024 1 8,9 00,3549
2024 1 8,10 00,3479
2024 1 8,11 00,3407
2024 1 8,12 00,3300
2024 1 8,13 00,3253
2024 1 8,14 00,3242
2024 1 8,15 00,3334
2024 1 8,16 00,3556
2024 1 8,17 00,3854
2024 1 8,18 00,3947
2024 1 8,19 00,3916
2024 1 8,20 00,3853
2024 1 8,21 00,3698
2024 1 8,22 00,3476
2024 1 8,23 00,3257
2024 1 9,0 00,3022
2024 1 9,1 00,2911
2024 1 9,2 00,2866
2024 1 9,3 00,2853
2024 1 9,4 00,2894
2024 1 9,5 00,3128
2024 1 9,6 00,3628
2024 1 9,7 00,4044
2024 1 9,8 00,4310
2024 1 9,9 00,4329
2024 1 9,10 00,4150
2024 1 9,11 00,4014
2024 1 9,12 00,3802
2024 1 9,13 00,3816
2024 1 9,14 00,3795
2024 1 9,15 00,3847
2024 1 9,16 00,3998
2024 1 9,17 00,4158
2024 1 9,18 00,4181
2024 1 9,19 00,4129
2024 1 9,20 00,4051
2024 1 9,21 00,3872
2024 1 9,22 00,3640
2024 1 9,23 00,3400
2024 1 10,0 00,3126
2024 1 10,1 00,2998
2024 1 10,2 00,2961
2024 1 10,3 00,2945
2024 1 10,4 00,2985
2024 1 10,5 00,3198
2024 1 10,6 00,3672
2024 1 10,7 00,4056
2024 1 10,8 00,4286
2024 1 10,9 00,4261
2024 1 10,10 00,4110
2024 1 10,11 00,4035
2024 1 10,12 00,3838
2024 1 10,13 00,3884
2024 1 10,14 00,3846
2024 1 10,15 00,3851
2024 1 10,16 00,3995
2024 1 10,17 00,4109
2024 1 10,18 00,4105
2024 1 10,19 00,4035
2024 1 10,20 00,3933
2024 1 10,21 00,3756
2024 1 10,22 00,3532
2024 1 10,23 00,3282
2024 1 11,0 00,3020
2024 1 11,1 00,2897
2024 1 11,2 00,2866
2024 1 11,3 00,2861
2024 1 11,4 00,2910
2024 1 11,5 00,3104
2024 1 11,6 00,3544
2024 1 11,7 00,3982
2024 1 11,8 00,4361
2024 1 11,9 00,4557
2024 1 11,10 00,4468
2024 1 11,11 00,4360
2024 1 11,12 00,4235
2024 1 11,13 00,4288
2024 1 11,14 00,4224
2024 1 11,15 00,4253
2024 1 11,16 00,4378
2024 1 11,17 00,4502
2024 1 11,18 00,4503
2024 1 11,19 00,4433
2024 1 11,20 00,4331
2024 1 11,21 00,4136
2024 1 11,22 00,3876
2024 1 11,23 00,3603
2024 1 12,0 00,3321
2024 1 12,1 00,3173
2024 1 12,2 00,3124
2024 1 12,3 00,3100
2024 1 12,4 00,3140
2024 1 12,5 00,3378
2024 1 12,6 00,3882
2024 1 12,7 00,4294
2024 1 12,8 00,4491
2024 1 12,9 00,4450
2024 1 12,10 00,4219
2024 1 12,11 00,4041
2024 1 12,12 00,3803
2024 1 12,13 00,3812
2024 1 12,14 00,3770
2024 1 12,15 00,3780
2024 1 12,16 00,3888
2024 1 12,17 00,4040
2024 1 12,18 00,4045
2024 1 12,19 00,3968
2024 1 12,20 00,3867
2024 1 12,21 00,3710
2024 1 12,22 00,3531
2024 1 12,23 00,3324
2024 1 13,0 00,3078
2024 1 13,1 00,2948
2024 1 13,2 00,2897
2024 1 13,3 00,2876
2024 1 13,4 00,2884
2024 1 13,5 00,2971
2024 1 13,6 00,3191
2024 1 13,7 00,3443
2024 1 13,8 00,3627
2024 1 13,9 00,3618
2024 1 13,10 00,3497
2024 1 13,11 00,3423
2024 1 13,12 00,3394
2024 1 13,13 00,3408
2024 1 13,14 00,3407
2024 1 13,15 00,3518
2024 1 13,16 00,3775
2024 1 13,17 00,4036
2024 1 13,18 00,4128
2024 1 13,19 00,4090
2024 1 13,20 00,4004
2024 1 13,21 00,3833
2024 1 13,22 00,3620
2024 1 13,23 00,3433
2024 1 14,0 00,3193
2024 1 14,1 00,3061
2024 1 14,2 00,2988
2024 1 14,3 00,2941
2024 1 14,4 00,2915
2024 1 14,5 00,3000
2024 1 14,6 00,3209
2024 1 14,7 00,3491
2024 1 14,8 00,3673
2024 1 14,9 00,3611
2024 1 14,10 00,3431
2024 1 14,11 00,3270
2024 1 14,12 00,3165
2024 1 14,13 00,3077
2024 1 14,14 00,3058
2024 1 14,15 00,3143
2024 1 14,16 00,3342
2024 1 14,17 00,3668
2024 1 14,18 00,3786
2024 1 14,19 00,3775
2024 1 14,20 00,3711
2024 1 14,21 00,3560
2024 1 14,22 00,3325
2024 1 14,23 00,3112
2024 1 15,0 00,2893
2024 1 15,1 00,2792
2024 1 15,2 00,2765
2024 1 15,3 00,2768
2024 1 15,4 00,2824
2024 1 15,5 00,3046
2024 1 15,6 00,3507
2024 1 15,7 00,3895
2024 1 15,8 00,4187
2024 1 15,9 00,4222
2024 1 15,10 00,4064
2024 1 15,11 00,3950
2024 1 15,12 00,3778
2024 1 15,13 00,3830
2024 1 15,14 00,3852
2024 1 15,15 00,3954
2024 1 15,16 00,4173
2024 1 15,17 00,4368
2024 1 15,18 00,4392
2024 1 15,19 00,4315
2024 1 15,20 00,4205
2024 1 15,21 00,4007
2024 1 15,22 00,3765
2024 1 15,23 00,3511
2024 1 16,0 00,3245
2024 1 16,1 00,3115
2024 1 16,2 00,3070
2024 1 16,3 00,3064
2024 1 16,4 00,3103
2024 1 16,5 00,3337
2024 1 16,6 00,3840
2024 1 16,7 00,4248
2024 1 16,8 00,4513
2024 1 16,9 00,4566
2024 1 16,10 00,4483
2024 1 16,11 00,4390
2024 1 16,12 00,4208
2024 1 16,13 00,4245
2024 1 16,14 00,4242
2024 1 16,15 00,4304
2024 1 16,16 00,4498
2024 1 16,17 00,4675
2024 1 16,18 00,4669
2024 1 16,19 00,4571
2024 1 16,20 00,4436
2024 1 16,21 00,4208
2024 1 16,22 00,3921
2024 1 16,23 00,3637
2024 1 17,0 00,3337
2024 1 17,1 00,3180
2024 1 17,2 00,3120
2024 1 17,3 00,3092
2024 1 17,4 00,3145
2024 1 17,5 00,3379
2024 1 17,6 00,3878
2024 1 17,7 00,4289
2024 1 17,8 00,4490
2024 1 17,9 00,4460
2024 1 17,10 00,4265
2024 1 17,11 00,4101
2024 1 17,12 00,3865
2024 1 17,13 00,3878
2024 1 17,14 00,3827
2024 1 17,15 00,3851
2024 1 17,16 00,3994
2024 1 17,17 00,4171
2024 1 17,18 00,4214
2024 1 17,19 00,4167
2024 1 17,20 00,4078
2024 1 17,21 00,3882
2024 1 17,22 00,3629
2024 1 17,23 00,3357
2024 1 18,0 00,3093
2024 1 18,1 00,2958
2024 1 18,2 00,2919
2024 1 18,3 00,2912
2024 1 18,4 00,2961
2024 1 18,5 00,3172
2024 1 18,6 00,3624
2024 1 18,7 00,3992
2024 1 18,8 00,4234
2024 1 18,9 00,4313
2024 1 18,10 00,4074
2024 1 18,11 00,3995
2024 1 18,12 00,3843
2024 1 18,13 00,3908
2024 1 18,14 00,3807
2024 1 18,15 00,3736
2024 1 18,16 00,3862
2024 1 18,17 00,3991
2024 1 18,18 00,3985
2024 1 18,19 00,3912
2024 1 18,20 00,3807
2024 1 18,21 00,3621
2024 1 18,22 00,3400
2024 1 18,23 00,3145
2024 1 19,0 00,2889
2024 1 19,1 00,2762
2024 1 19,2 00,2731
2024 1 19,3 00,2729
2024 1 19,4 00,2772
2024 1 19,5 00,2944
2024 1 19,6 00,3305
2024 1 19,7 00,3625
2024 1 19,8 00,3908
2024 1 19,9 00,3987
2024 1 19,10 00,3850
2024 1 19,11 00,3752
2024 1 19,12 00,3571
2024 1 19,13 00,3641
2024 1 19,14 00,3604
2024 1 19,15 00,3587
2024 1 19,16 00,3702
2024 1 19,17 00,3839
2024 1 19,18 00,3843
2024 1 19,19 00,3767
2024 1 19,20 00,3663
2024 1 19,21 00,3486
2024 1 19,22 00,3311
2024 1 19,23 00,3111
2024 1 20,0 00,2871
