DATE,TIME,実績(万kW)
2015 1 9,6 00,3626
2015 1 9,7 00,3896
2015 1 9,8 00,4030
2015 1 9,9 00,4040
2015 1 9,10 00,3890
2015 1 9,11 00,3789
2015 1 9,12 00,3546
2015 1 9,13 00,3646
2015 1 9,14 00,3618
2015 1 9,15 00,3645
2015 1 9,16 00,3893
2015 1 9,17 00,4185
2015 1 9,18 00,4186
2015 1 9,19 00,4080
2015 1 9,20 00,3975
2015 1 9,21 00,3833
2015 1 9,22 00,3745
2015 1 9,23 00,3558
2015 1 10,0 00,3308
2015 1 10,1 00,3139
2015 1 10,2 00,3005
2015 1 10,3 00,2918
2015 1 10,4 00,2890
2015 1 10,5 00,2966
2015 1 10,6 00,3206
2015 1 10,7 00,3462
2015 1 10,8 00,3692
2015 1 10,9 00,3718
2015 1 10,10 00,3578
2015 1 10,11 00,3468
2015 1 10,12 00,3290
2015 1 10,13 00,3308
2015 1 10,14 00,3273
2015 1 10,15 00,3288
2015 1 10,16 00,3509
2015 1 10,17 00,3847
2015 1 10,18 00,3909
2015 1 10,19 00,3869
2015 1 10,20 00,3803
2015 1 10,21 00,3666
2015 1 10,22 00,3502
2015 1 10,23 00,3336
2015 1 11,0 00,3105
2015 1 11,1 00,2961
2015 1 11,2 00,2856
2015 1 11,3 00,2784
2015 1 11,4 00,2745
2015 1 11,5 00,2796
2015 1 11,6 00,2983
2015 1 11,7 00,3171
2015 1 11,8 00,3338
2015 1 11,9 00,3313
2015 1 11,10 00,3181
2015 1 11,11 00,3055
2015 1 11,12 00,2976
2015 1 11,13 00,2944
2015 1 11,14 00,2908
2015 1 11,15 00,2958
2015 1 11,16 00,3199
2015 1 11,17 00,3602
2015 1 11,18 00,3688
2015 1 11,19 00,3670
2015 1 11,20 00,3620
2015 1 11,21 00,3495
2015 1 11,22 00,3327
2015 1 11,23 00,3165
2015 1 12,0 00,2961
2015 1 12,1 00,2833
2015 1 12,2 00,2759
2015 1 12,3 00,2700
2015 1 12,4 00,2683
2015 1 12,5 00,2772
2015 1 12,6 00,3024
2015 1 12,7 00,3284
2015 1 12,8 00,3549
2015 1 12,9 00,3629
2015 1 12,10 00,3544
2015 1 12,11 00,3463
2015 1 12,12 00,3318
2015 1 12,13 00,3336
2015 1 12,14 00,3313
2015 1 12,15 00,3364
2015 1 12,16 00,3629
2015 1 12,17 00,4029
2015 1 12,18 00,4112
2015 1 12,19 00,4076
2015 1 12,20 00,4014
2015 1 12,21 00,3869
2015 1 12,22 00,3627
2015 1 12,23 00,3406
2015 1 13,0 00,3153
2015 1 13,1 00,3000
2015 1 13,2 00,2907
2015 1 13,3 00,2854
2015 1 13,4 00,2876
2015 1 13,5 00,3102
2015 1 13,6 00,3610
2015 1 13,7 00,3915
2015 1 13,8 00,4043
2015 1 13,9 00,4047
2015 1 13,10 00,3896
2015 1 13,11 00,3784
2015 1 13,12 00,3535
2015 1 13,13 00,3628
2015 1 13,14 00,3599
2015 1 13,15 00,3608
2015 1 13,16 00,3855
2015 1 13,17 00,4178
2015 1 13,18 00,4207
2015 1 13,19 00,4126
2015 1 13,20 00,4034
2015 1 13,21 00,3882
2015 1 13,22 00,3750
2015 1 13,23 00,3528
2015 1 14,0 00,3245
2015 1 14,1 00,3072
2015 1 14,2 00,2978
2015 1 14,3 00,2923
2015 1 14,4 00,2946
2015 1 14,5 00,3164
2015 1 14,6 00,3673
2015 1 14,7 00,3955
2015 1 14,8 00,4083
2015 1 14,9 00,4089
2015 1 14,10 00,3913
2015 1 14,11 00,3792
2015 1 14,12 00,3547
2015 1 14,13 00,3719
2015 1 14,14 00,3703
2015 1 14,15 00,3739
2015 1 14,16 00,3972
2015 1 14,17 00,4164
2015 1 14,18 00,4131
2015 1 14,19 00,4009
2015 1 14,20 00,3896
2015 1 14,21 00,3740
2015 1 14,22 00,3581
2015 1 14,23 00,3327
2015 1 15,0 00,3046
2015 1 15,1 00,2893
2015 1 15,2 00,2812
2015 1 15,3 00,2772
2015 1 15,4 00,2794
2015 1 15,5 00,2977
2015 1 15,6 00,3415
2015 1 15,7 00,3695
2015 1 15,8 00,3968
